Morning,Afternoon,Evening,Night,CaseRatio,WordRatio,VerbRatio,NounRatio,PuncRatio,AdjectiveRatio,AdverbRatio,AbrvRatio,NumeralRatio,DeterminerRatio,PostPositiveRatio,DuplicatorRatio,ConjunctionRatio,InterjectionRatio,PronounRatio,QuestionRatio,IncorrectRatio,NegativeRatio,PluralRatio,PresentTimeRatio,FutureTimeRatio,PastTimeRatio,NarrTimeRatio,ProgTimeRatio,CondRatio,ImpRatio,NecessRatio,AbilRatio,NegAbilRatio,QuestionPuncRatio,ExclamationRatio,EllipsisRatio,CommaRatio,FullStopRatio,EnglishRatio,SmilingRatio,AffectedRatio,TongueRatio,NeutralRatio,UnwellRatio,NegRatio,RomanticRatio,FingersRatio,ActivityRatio,SportRatio,PlantRatio
0.758,0.380,0.242,0.620,91.587,9.222,0.935,4.858,0.930,0.784,0.140,0.000,0.393,0.088,0.094,0.001,0.110,0.015,0.090,0.053,1.124,0.048,0.564,0.046,0.126,0.465,0.009,0.088,0.018,0.051,0.001,0.003,0.006,0.287,0.221,0.003,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.948,0.806,0.052,0.194,78.302,14.766,0.790,8.215,1.915,1.582,0.322,0.000,0.355,0.305,0.225,0.014,0.397,0.014,0.097,0.005,1.664,0.071,1.352,0.097,0.043,0.284,0.038,0.118,0.012,0.142,0.007,0.118,0.009,0.012,0.184,0.182,0.000,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
0.583,0.694,0.417,0.306,85.840,12.926,1.120,6.425,2.071,0.947,0.280,0.000,0.373,0.350,0.149,0.000,0.249,0.018,0.139,0.043,1.701,0.103,0.818,0.074,0.077,0.559,0.043,0.176,0.024,0.129,0.004,0.018,0.017,0.077,0.304,0.033,0.000,0.190,0.007,0.028,0.006,0.002,0.001,0.012,0.000,0.016,0.021,0.000,0.004,0.002
0.632,0.735,0.368,0.265,91.030,9.487,1.266,3.945,1.068,0.818,0.476,0.000,0.202,0.309,0.150,0.001,0.262,0.123,0.314,0.075,1.086,0.193,0.694,0.247,0.056,0.255,0.081,0.270,0.048,0.199,0.021,0.035,0.055,0.070,0.020,0.035,0.000,0.398,0.004,0.285,0.011,0.003,0.021,0.020,0.001,0.004,0.081,0.001,0.000,0.000
0.683,0.650,0.317,0.350,85.527,9.347,1.283,3.755,0.596,0.726,0.561,0.000,0.136,0.369,0.152,0.005,0.492,0.083,0.345,0.067,1.396,0.158,0.561,0.175,0.064,0.335,0.126,0.351,0.029,0.122,0.008,0.035,0.047,0.040,0.029,0.003,0.000,0.021,0.036,0.013,0.009,0.000,0.001,0.028,0.000,0.093,0.033,0.004,0.000,0.013
0.806,0.265,0.194,0.735,87.999,7.437,0.606,4.658,0.714,0.536,0.148,0.000,0.127,0.111,0.042,0.001,0.139,0.016,0.037,0.024,1.717,0.033,0.580,0.127,0.034,0.192,0.010,0.087,0.008,0.068,0.012,0.026,0.007,0.115,0.149,0.011,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.932,0.446,0.068,0.554,88.289,7.643,0.637,4.747,0.714,0.578,0.173,0.000,0.137,0.123,0.052,0.003,0.141,0.010,0.048,0.028,1.664,0.041,0.662,0.121,0.029,0.198,0.013,0.108,0.005,0.072,0.014,0.035,0.008,0.114,0.157,0.007,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
0.609,0.703,0.391,0.297,89.430,12.254,1.304,5.572,1.601,1.022,0.457,0.000,0.268,0.370,0.188,0.000,0.326,0.094,0.261,0.036,1.449,0.239,0.703,0.210,0.036,0.290,0.138,0.268,0.036,0.145,0.014,0.043,0.036,0.029,0.051,0.029,0.000,0.406,0.014,0.007,0.000,0.000,0.000,0.007,0.000,0.007,0.000,0.000,0.000,0.000
0.705,0.553,0.295,0.447,87.210,11.429,0.571,6.866,0.558,0.749,0.131,0.000,0.129,0.104,0.067,0.002,0.145,0.005,0.032,0.012,2.809,0.090,0.574,0.065,0.016,0.150,0.009,0.067,0.007,0.115,0.000,0.012,0.005,0.111,0.007,0.002,0.000,0.030,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.648,0.602,0.352,0.398,89.725,13.734,1.375,6.500,1.703,1.094,0.484,0.000,0.352,0.508,0.250,0.023,0.305,0.055,0.273,0.055,1.219,0.258,1.602,0.164,0.133,0.375,0.055,0.320,0.078,0.195,0.008,0.023,0.062,0.039,0.070,0.078,0.000,0.406,0.000,0.023,0.016,0.000,0.000,0.016,0.008,0.031,0.008,0.000,0.000,0.000
0.851,0.702,0.149,0.298,97.719,10.138,1.670,4.043,0.011,1.255,0.691,0.000,0.064,0.404,0.191,0.000,0.149,0.202,0.266,0.298,1.734,0.266,1.000,0.287,0.266,0.394,0.021,0.362,0.032,0.245,0.000,0.032,0.032,0.000,0.000,0.000,0.000,0.011,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.657,0.721,0.343,0.279,86.224,14.008,1.256,6.905,1.832,1.098,0.428,0.000,0.306,0.295,0.222,0.005,0.277,0.088,0.259,0.047,2.052,0.190,1.158,0.164,0.102,0.241,0.072,0.207,0.035,0.251,0.008,0.015,0.030,0.047,0.106,0.085,0.000,0.366,0.033,0.026,0.002,0.001,0.001,0.004,0.000,0.004,0.028,0.000,0.007,0.000
0.329,0.846,0.671,0.154,96.305,14.059,1.975,5.151,2.196,1.433,0.789,0.000,0.191,0.517,0.279,0.007,0.552,0.092,0.560,0.268,0.428,0.361,1.455,0.314,0.131,0.426,0.141,0.285,0.089,0.418,0.017,0.023,0.022,0.091,0.030,0.129,0.000,0.815,0.000,0.029,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000
0.563,0.726,0.437,0.274,73.994,12.324,1.010,5.756,1.259,0.687,0.443,0.000,0.240,0.306,0.179,0.004,0.378,0.060,0.320,0.056,2.703,0.154,0.672,0.140,0.057,0.246,0.075,0.178,0.044,0.162,0.015,0.027,0.035,0.039,0.065,0.007,0.000,0.158,0.119,0.047,0.039,0.007,0.003,0.010,0.000,0.093,0.018,0.000,0.000,0.007
0.391,0.736,0.609,0.264,88.582,10.555,1.146,4.651,1.527,0.874,0.418,0.000,0.158,0.407,0.149,0.004,0.300,0.053,0.319,0.062,1.009,0.185,0.861,0.176,0.066,0.292,0.066,0.213,0.037,0.191,0.013,0.025,0.037,0.054,0.070,0.081,0.000,0.462,0.004,0.080,0.004,0.001,0.005,0.005,0.000,0.009,0.005,0.000,0.002,0.000
0.542,0.536,0.458,0.464,84.323,11.604,0.899,6.219,1.012,0.577,0.321,0.000,0.238,0.349,0.208,0.006,0.204,0.367,0.445,0.018,2.228,0.110,0.695,0.146,0.018,0.116,0.020,0.079,0.153,0.123,0.001,0.001,0.034,0.004,0.002,0.031,0.000,0.505,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.864,0.500,0.136,0.500,93.492,11.064,1.386,4.279,1.364,0.807,0.607,0.000,0.171,0.593,0.229,0.007,0.457,0.129,0.386,0.093,1.550,0.229,0.664,0.179,0.050,0.321,0.207,0.271,0.064,0.200,0.007,0.014,0.021,0.079,0.029,0.021,0.000,0.707,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.280,0.841,0.720,0.159,87.422,11.994,1.327,5.448,1.655,0.815,0.404,0.000,0.218,0.379,0.169,0.005,0.345,0.067,0.391,0.067,1.555,0.216,1.026,0.194,0.076,0.334,0.098,0.213,0.040,0.208,0.004,0.019,0.032,0.054,0.098,0.080,0.000,0.424,0.013,0.078,0.013,0.000,0.000,0.001,0.000,0.004,0.012,0.000,0.011,0.000
0.805,0.664,0.195,0.336,89.285,10.836,1.398,4.992,0.805,0.898,0.508,0.000,0.195,0.375,0.219,0.000,0.320,0.133,0.555,0.070,1.203,0.266,1.211,0.164,0.094,0.273,0.055,0.234,0.031,0.352,0.000,0.031,0.047,0.016,0.023,0.047,0.000,0.258,0.000,0.000,0.008,0.000,0.000,0.023,0.000,0.094,0.000,0.000,0.000,0.000
0.419,0.751,0.581,0.249,91.371,9.018,1.035,3.132,1.281,0.643,0.394,0.000,0.092,0.357,0.130,0.003,0.191,0.072,0.332,0.050,0.980,0.155,0.657,0.155,0.038,0.269,0.048,0.216,0.039,0.165,0.010,0.029,0.033,0.055,0.137,0.023,0.000,0.517,0.004,0.065,0.005,0.009,0.012,0.011,0.001,0.017,0.040,0.001,0.000,0.087
0.551,0.603,0.449,0.397,91.621,9.198,1.323,4.224,0.871,0.688,0.343,0.000,0.144,0.314,0.152,0.010,0.283,0.081,0.322,0.072,1.084,0.183,0.757,0.214,0.070,0.351,0.068,0.158,0.065,0.218,0.022,0.016,0.032,0.020,0.058,0.033,0.000,0.205,0.003,0.063,0.001,0.000,0.000,0.000,0.001,0.000,0.006,0.000,0.001,0.000
0.530,0.598,0.470,0.402,90.383,13.684,1.301,6.441,1.727,1.125,0.479,0.000,0.299,0.399,0.192,0.004,0.344,0.085,0.293,0.060,1.866,0.204,1.027,0.205,0.059,0.321,0.065,0.204,0.045,0.236,0.015,0.028,0.025,0.067,0.121,0.126,0.000,0.315,0.017,0.102,0.005,0.001,0.011,0.012,0.003,0.024,0.021,0.000,0.004,0.000
0.576,0.629,0.424,0.371,85.181,13.424,0.537,7.392,1.999,0.340,0.131,0.000,0.235,0.188,0.058,0.005,0.260,0.207,0.132,0.022,3.846,0.025,0.264,0.074,0.026,0.139,0.014,0.062,0.048,0.141,0.001,0.007,0.008,0.053,0.245,0.064,0.000,0.250,0.275,0.037,0.023,0.002,0.000,0.003,0.001,0.048,0.025,0.007,0.000,0.003
0.577,0.743,0.423,0.257,89.065,9.096,1.253,4.104,0.684,0.780,0.442,0.000,0.226,0.344,0.177,0.006,0.192,0.055,0.296,0.080,1.216,0.198,0.516,0.191,0.069,0.345,0.138,0.269,0.040,0.127,0.008,0.032,0.032,0.040,0.018,0.027,0.000,0.113,0.037,0.019,0.003,0.002,0.004,0.018,0.001,0.001,0.025,0.000,0.005,0.002
0.605,0.368,0.395,0.632,92.218,9.263,1.263,4.105,0.974,0.763,0.368,0.000,0.079,0.263,0.237,0.000,0.342,0.211,0.211,0.026,1.211,0.263,0.605,0.105,0.026,0.421,0.132,0.316,0.026,0.184,0.000,0.026,0.000,0.026,0.000,0.079,0.000,0.263,0.026,0.000,0.026,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.026
0.437,0.746,0.563,0.254,90.188,12.865,1.264,6.171,1.804,0.982,0.504,0.000,0.242,0.386,0.210,0.000,0.325,0.075,0.264,0.093,1.585,0.195,1.005,0.206,0.058,0.293,0.103,0.202,0.058,0.201,0.019,0.036,0.028,0.115,0.081,0.102,0.000,0.439,0.027,0.032,0.002,0.001,0.000,0.004,0.001,0.003,0.015,0.000,0.008,0.000
0.862,0.407,0.138,0.593,95.413,12.149,1.480,5.444,1.063,1.352,0.645,0.000,0.164,0.479,0.290,0.004,0.448,0.051,0.474,0.093,0.662,0.318,1.184,0.309,0.110,0.236,0.122,0.306,0.066,0.174,0.013,0.097,0.040,0.133,0.014,0.080,0.000,0.501,0.005,0.009,0.000,0.000,0.004,0.000,0.000,0.000,0.004,0.000,0.000,0.000
0.488,0.771,0.512,0.229,85.225,10.269,0.970,4.476,1.801,0.598,0.265,0.000,0.267,0.454,0.094,0.004,0.195,0.118,0.215,0.038,1.845,0.106,0.508,0.161,0.028,0.335,0.066,0.118,0.026,0.161,0.004,0.012,0.012,0.046,0.120,0.064,0.000,0.315,0.034,0.028,0.000,0.002,0.006,0.002,0.004,0.004,0.016,0.012,0.004,0.002
0.694,0.583,0.306,0.417,73.036,7.889,0.861,3.917,0.833,0.639,0.167,0.000,0.389,0.111,0.139,0.000,0.056,0.000,0.139,0.000,0.806,0.056,0.472,0.056,0.111,0.556,0.056,0.083,0.000,0.028,0.000,0.056,0.000,0.000,0.361,0.028,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.379,0.614,0.621,0.386,87.421,10.257,1.404,4.190,0.965,0.933,0.614,0.000,0.112,0.484,0.204,0.005,0.401,0.045,0.510,0.088,0.680,0.294,0.817,0.226,0.071,0.315,0.088,0.314,0.051,0.177,0.005,0.039,0.058,0.051,0.011,0.041,0.000,0.281,0.014,0.076,0.017,0.001,0.007,0.002,0.000,0.003,0.002,0.000,0.000,0.002
0.569,0.523,0.431,0.477,86.937,14.446,1.138,6.754,2.185,1.138,0.400,0.000,0.415,0.446,0.231,0.015,0.292,0.031,0.262,0.000,2.292,0.292,0.692,0.185,0.062,0.231,0.031,0.292,0.062,0.185,0.015,0.031,0.015,0.046,0.154,0.046,0.000,0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.431,0.829,0.569,0.171,88.817,12.957,1.719,4.893,1.229,1.133,0.883,0.000,0.119,0.595,0.321,0.014,0.531,0.107,0.681,0.131,0.812,0.364,1.160,0.343,0.081,0.262,0.124,0.376,0.079,0.231,0.012,0.057,0.079,0.029,0.010,0.069,0.000,0.188,0.002,0.038,0.007,0.000,0.000,0.014,0.002,0.002,0.038,0.000,0.000,0.000
0.557,0.758,0.443,0.242,92.419,9.959,1.411,4.171,0.967,0.762,0.582,0.000,0.119,0.438,0.195,0.001,0.355,0.096,0.462,0.080,0.722,0.260,0.806,0.319,0.059,0.274,0.076,0.244,0.089,0.214,0.010,0.035,0.050,0.033,0.033,0.056,0.000,0.273,0.001,0.043,0.006,0.000,0.012,0.007,0.001,0.003,0.011,0.000,0.000,0.001
0.720,0.681,0.280,0.319,87.674,14.527,1.326,6.776,1.994,1.134,0.556,0.000,0.385,0.415,0.207,0.007,0.377,0.056,0.306,0.067,1.681,0.199,1.140,0.220,0.078,0.271,0.111,0.213,0.066,0.202,0.014,0.038,0.035,0.070,0.099,0.088,0.000,0.406,0.027,0.044,0.006,0.004,0.005,0.005,0.003,0.002,0.010,0.001,0.000,0.009
0.586,0.698,0.414,0.302,87.571,9.897,1.175,4.325,1.094,0.749,0.449,0.000,0.167,0.380,0.168,0.003,0.305,0.063,0.397,0.094,1.032,0.221,0.601,0.217,0.067,0.240,0.095,0.224,0.052,0.142,0.004,0.038,0.030,0.052,0.020,0.043,0.000,0.160,0.050,0.027,0.001,0.007,0.001,0.004,0.003,0.010,0.002,0.000,0.000,0.001
0.513,0.762,0.487,0.238,87.580,8.698,0.957,3.841,1.122,0.593,0.352,0.000,0.184,0.307,0.120,0.001,0.238,0.059,0.318,0.056,1.168,0.152,0.556,0.177,0.050,0.209,0.058,0.201,0.031,0.134,0.004,0.029,0.034,0.090,0.050,0.020,0.000,0.308,0.052,0.041,0.004,0.001,0.004,0.013,0.000,0.007,0.018,0.000,0.006,0.001
0.473,0.697,0.527,0.303,95.431,4.421,0.671,2.086,0.232,0.390,0.243,0.000,0.035,0.171,0.047,0.001,0.135,0.066,0.185,0.043,0.388,0.118,0.432,0.114,0.030,0.146,0.038,0.119,0.020,0.103,0.003,0.009,0.020,0.004,0.001,0.009,0.000,0.015,0.007,0.006,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.001,0.000
0.718,0.609,0.282,0.391,92.948,12.026,1.492,5.270,1.076,1.176,0.506,0.000,0.445,0.470,0.214,0.006,0.335,0.068,0.288,0.079,0.973,0.255,0.974,0.259,0.107,0.297,0.087,0.274,0.064,0.238,0.015,0.043,0.047,0.060,0.073,0.266,0.000,0.229,0.002,0.109,0.005,0.002,0.002,0.004,0.001,0.000,0.045,0.000,0.005,0.000
0.623,0.563,0.377,0.437,87.008,11.008,0.860,6.518,0.771,0.589,0.316,0.000,0.113,0.308,0.134,0.002,0.218,0.037,0.239,0.035,1.598,0.102,0.744,0.108,0.027,0.324,0.058,0.123,0.016,0.106,0.003,0.018,0.027,0.065,0.090,0.027,0.000,0.081,0.115,0.021,0.000,0.002,0.010,0.003,0.002,0.005,0.015,0.000,0.006,0.015
0.580,0.714,0.420,0.286,85.474,12.630,1.310,5.597,1.763,0.918,0.520,0.000,0.227,0.453,0.214,0.004,0.377,0.095,0.363,0.066,1.319,0.222,1.143,0.216,0.080,0.300,0.092,0.231,0.043,0.208,0.012,0.028,0.038,0.049,0.122,0.281,0.000,0.351,0.015,0.049,0.001,0.003,0.004,0.010,0.003,0.010,0.020,0.000,0.003,0.000
0.639,0.721,0.361,0.279,83.599,11.820,1.230,4.721,1.656,1.262,0.459,0.000,0.361,0.262,0.082,0.049,0.246,0.033,0.443,0.082,1.574,0.164,1.098,0.230,0.016,0.361,0.033,0.197,0.033,0.213,0.000,0.066,0.049,0.148,0.131,0.000,0.000,0.607,0.000,0.230,0.000,0.000,0.000,0.016,0.000,0.000,0.131,0.000,0.000,0.115
0.592,0.669,0.408,0.331,87.264,11.056,1.080,4.706,1.601,0.931,0.296,0.000,0.156,0.400,0.186,0.007,0.287,0.136,0.287,0.043,1.585,0.134,0.849,0.216,0.045,0.145,0.050,0.119,0.052,0.304,0.002,0.028,0.009,0.039,0.047,0.272,0.000,0.369,0.009,0.004,0.002,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000
0.414,0.783,0.586,0.217,94.182,11.177,1.572,4.762,1.237,0.851,0.502,0.000,0.231,0.338,0.196,0.004,0.430,0.077,0.470,0.176,0.760,0.290,1.176,0.279,0.098,0.309,0.090,0.250,0.057,0.257,0.010,0.026,0.032,0.159,0.108,0.043,0.000,0.247,0.000,0.066,0.017,0.001,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000
0.421,0.675,0.579,0.325,70.338,8.201,0.882,3.551,1.120,0.677,0.424,0.000,0.114,0.295,0.120,0.006,0.258,0.057,0.278,0.035,0.814,0.174,0.451,0.149,0.052,0.160,0.065,0.214,0.039,0.114,0.005,0.023,0.031,0.036,0.018,0.020,0.000,0.190,0.024,0.022,0.005,0.000,0.004,0.005,0.000,0.005,0.001,0.000,0.000,0.007
0.631,0.741,0.369,0.259,92.971,12.683,1.564,5.642,1.805,1.055,0.435,0.000,0.178,0.377,0.224,0.002,0.341,0.100,0.441,0.122,1.327,0.259,1.218,0.257,0.121,0.308,0.100,0.200,0.067,0.304,0.025,0.025,0.046,0.150,0.069,0.019,0.000,0.628,0.001,0.131,0.003,0.000,0.005,0.005,0.000,0.000,0.019,0.000,0.000,0.000
0.680,0.660,0.320,0.340,90.053,13.781,1.301,6.014,1.967,1.192,0.722,0.000,0.309,0.411,0.185,0.007,0.565,0.066,0.228,0.074,2.047,0.219,1.007,0.206,0.085,0.207,0.117,0.280,0.078,0.180,0.033,0.059,0.028,0.102,0.102,0.021,0.000,0.594,0.057,0.017,0.005,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.000,0.000
0.565,0.613,0.435,0.387,71.213,12.021,0.236,8.286,1.271,0.241,0.072,0.000,0.186,0.151,0.029,0.019,0.074,0.313,0.048,0.000,4.703,0.005,0.021,0.021,0.000,0.042,0.000,0.000,0.048,0.109,0.000,0.003,0.000,0.019,0.058,0.257,0.000,0.263,0.584,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000
0.562,0.532,0.438,0.468,88.607,10.313,0.814,5.735,1.422,0.648,0.188,0.000,0.187,0.160,0.093,0.005,0.160,0.028,0.084,0.037,1.665,0.055,0.615,0.066,0.043,0.457,0.020,0.130,0.013,0.050,0.005,0.014,0.013,0.083,0.128,0.070,0.000,0.037,0.017,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001
0.659,0.619,0.341,0.381,91.586,12.630,1.457,5.686,1.024,1.029,0.591,0.000,0.701,0.336,0.217,0.001,0.442,0.074,0.271,0.089,1.498,0.229,0.960,0.248,0.107,0.325,0.111,0.283,0.066,0.188,0.007,0.050,0.034,0.038,0.022,0.034,0.000,0.213,0.010,0.088,0.002,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.000
0.648,0.749,0.352,0.251,88.348,9.564,1.184,4.376,0.934,0.751,0.335,0.000,0.177,0.298,0.176,0.002,0.252,0.063,0.331,0.067,1.158,0.173,0.931,0.205,0.078,0.282,0.063,0.220,0.039,0.159,0.003,0.018,0.028,0.026,0.094,0.080,0.000,0.177,0.005,0.028,0.002,0.001,0.001,0.000,0.001,0.003,0.004,0.001,0.000,0.000
0.376,0.811,0.624,0.189,94.467,10.724,1.710,4.090,0.716,0.906,0.675,0.000,0.190,0.498,0.196,0.004,0.472,0.077,0.566,0.108,0.904,0.272,0.851,0.258,0.102,0.392,0.173,0.398,0.056,0.186,0.013,0.029,0.051,0.045,0.012,0.026,0.000,0.200,0.006,0.003,0.000,0.000,0.001,0.001,0.000,0.003,0.002,0.000,0.000,0.000
0.499,0.717,0.501,0.283,91.581,7.674,1.113,2.987,0.733,0.713,0.484,0.000,0.163,0.392,0.113,0.007,0.307,0.113,0.277,0.089,0.524,0.157,0.564,0.173,0.054,0.270,0.073,0.152,0.043,0.181,0.008,0.014,0.033,0.049,0.084,0.040,0.000,0.223,0.003,0.050,0.012,0.000,0.001,0.019,0.002,0.002,0.016,0.000,0.000,0.001
0.536,0.748,0.464,0.252,92.091,9.066,1.375,3.480,1.196,0.732,0.489,0.000,0.132,0.253,0.124,0.010,0.303,0.083,0.399,0.116,0.770,0.259,0.708,0.233,0.066,0.308,0.084,0.281,0.049,0.185,0.011,0.021,0.031,0.137,0.006,0.140,0.000,0.521,0.004,0.142,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.001,0.002
0.555,0.634,0.445,0.366,89.276,10.294,0.532,5.180,2.439,0.361,0.139,0.000,0.445,0.516,0.065,0.003,0.131,0.055,0.122,0.043,2.441,0.075,0.278,0.061,0.018,0.125,0.033,0.065,0.010,0.139,0.001,0.007,0.009,0.034,0.049,0.055,0.000,0.086,0.025,0.004,0.003,0.001,0.000,0.001,0.001,0.003,0.001,0.002,0.000,0.000
0.487,0.779,0.513,0.221,88.129,12.475,0.969,6.376,1.479,0.831,0.337,0.000,0.403,0.322,0.145,0.011,0.335,0.057,0.122,0.031,2.741,0.127,0.435,0.166,0.048,0.332,0.084,0.134,0.053,0.130,0.008,0.027,0.031,0.052,0.075,0.019,0.000,0.471,0.092,0.044,0.008,0.001,0.000,0.003,0.001,0.024,0.041,0.001,0.017,0.001
0.703,0.723,0.297,0.277,71.100,12.144,1.240,4.320,2.191,0.508,0.139,0.000,0.348,0.939,0.043,0.004,0.118,0.116,0.085,0.048,1.902,0.068,0.397,0.059,0.022,0.959,0.010,0.077,0.010,0.083,0.003,0.009,0.010,0.149,0.258,0.023,0.000,0.041,0.026,0.007,0.003,0.003,0.001,0.007,0.003,0.001,0.001,0.000,0.000,0.000
0.538,0.727,0.462,0.273,90.345,11.177,1.663,4.372,1.158,0.894,0.655,0.000,0.082,0.470,0.206,0.001,0.454,0.068,0.606,0.110,0.887,0.323,0.809,0.363,0.086,0.340,0.078,0.300,0.067,0.202,0.009,0.038,0.068,0.096,0.130,0.040,0.000,0.180,0.020,0.022,0.007,0.001,0.003,0.001,0.000,0.005,0.002,0.000,0.000,0.002
0.469,0.747,0.531,0.253,85.604,8.319,0.596,5.505,0.743,0.455,0.150,0.000,0.062,0.230,0.067,0.000,0.133,0.023,0.179,0.015,1.180,0.120,0.588,0.091,0.023,0.127,0.008,0.072,0.023,0.179,0.001,0.012,0.019,0.003,0.014,0.008,0.000,0.154,0.005,0.053,0.005,0.000,0.001,0.000,0.000,0.003,0.001,0.000,0.000,0.000
0.568,0.789,0.432,0.211,87.950,12.144,1.840,5.521,0.711,1.084,0.552,0.000,0.265,0.428,0.205,0.014,0.427,0.239,0.346,0.112,1.450,0.246,1.129,0.262,0.126,0.350,0.173,0.283,0.068,0.400,0.030,0.020,0.034,0.076,0.189,0.075,0.000,0.101,0.005,0.016,0.000,0.000,0.000,0.003,0.000,0.002,0.018,0.000,0.001,0.000
0.617,0.734,0.383,0.266,84.171,11.770,0.651,6.648,2.004,0.541,0.118,0.000,0.338,0.118,0.124,0.005,0.126,0.099,0.073,0.042,2.964,0.044,0.371,0.047,0.052,0.267,0.009,0.121,0.021,0.106,0.000,0.015,0.004,0.071,0.526,0.013,0.000,0.157,0.195,0.015,0.006,0.001,0.000,0.006,0.000,0.022,0.011,0.001,0.001,0.002
0.647,0.706,0.353,0.294,92.000,14.338,1.868,6.838,1.132,1.250,0.735,0.000,0.338,0.559,0.221,0.029,0.412,0.074,0.456,0.074,1.132,0.294,1.162,0.412,0.088,0.485,0.191,0.441,0.132,0.191,0.015,0.015,0.074,0.118,0.029,0.088,0.000,0.338,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000
0.743,0.640,0.257,0.360,90.458,9.662,1.279,4.213,1.691,0.603,0.272,0.000,0.096,0.140,0.199,0.000,0.228,0.022,0.265,0.022,0.816,0.368,0.485,0.235,0.132,0.140,0.066,0.176,0.051,0.243,0.015,0.015,0.037,0.022,0.199,0.125,0.000,0.434,0.015,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007
0.853,0.449,0.147,0.551,87.376,12.955,1.219,5.994,1.788,0.982,0.501,0.000,0.350,0.461,0.184,0.005,0.374,0.061,0.316,0.063,1.445,0.202,0.866,0.182,0.069,0.283,0.111,0.238,0.050,0.172,0.009,0.025,0.032,0.061,0.160,0.099,0.000,0.389,0.019,0.055,0.004,0.000,0.001,0.003,0.000,0.008,0.010,0.001,0.002,0.013
0.664,0.647,0.336,0.353,94.063,11.638,1.406,4.929,1.719,1.000,0.492,0.000,0.247,0.390,0.196,0.007,0.395,0.077,0.279,0.105,0.975,0.243,0.932,0.229,0.098,0.271,0.124,0.232,0.062,0.205,0.023,0.034,0.032,0.107,0.020,0.089,0.000,0.449,0.005,0.082,0.010,0.009,0.003,0.012,0.004,0.009,0.015,0.000,0.005,0.002
0.538,0.705,0.462,0.295,97.137,12.874,2.073,5.938,0.479,1.406,0.661,0.000,0.282,0.707,0.288,0.004,0.309,0.039,0.504,0.093,0.663,0.417,1.638,0.412,0.127,0.402,0.124,0.441,0.127,0.270,0.026,0.064,0.066,0.013,0.003,0.003,0.000,0.308,0.001,0.006,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.003
0.939,0.883,0.061,0.117,91.425,13.762,1.719,6.138,1.391,0.905,0.751,0.000,0.308,0.381,0.206,0.000,0.307,0.029,0.439,0.070,1.323,0.194,2.000,0.136,0.074,0.381,0.056,0.446,0.028,0.338,0.019,0.026,0.054,0.028,0.030,0.036,0.000,0.223,0.006,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.023,0.001,0.000,0.000
0.789,0.510,0.211,0.490,89.694,11.765,0.903,5.725,1.699,1.059,0.358,0.000,0.336,0.284,0.174,0.004,0.407,0.067,0.161,0.050,1.524,0.106,0.924,0.119,0.061,0.240,0.059,0.180,0.020,0.145,0.007,0.038,0.009,0.093,0.113,0.119,0.000,0.254,0.012,0.030,0.001,0.000,0.001,0.000,0.000,0.003,0.026,0.000,0.000,0.000
0.555,0.634,0.445,0.366,93.072,12.773,1.553,5.147,2.086,1.061,0.641,0.000,0.109,0.511,0.271,0.004,0.435,0.061,0.418,0.042,0.897,0.321,1.227,0.492,0.059,0.193,0.113,0.191,0.078,0.174,0.011,0.055,0.069,0.061,0.027,0.084,0.000,0.651,0.004,0.002,0.000,0.002,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000
