Morning,Afternoon,Evening,Night,CaseRatio,WordRatio,VerbRatio,NounRatio,PuncRatio,AdjectiveRatio,AdverbRatio,AbrvRatio,NumeralRatio,DeterminerRatio,PostPositiveRatio,DuplicatorRatio,ConjunctionRatio,InterjectionRatio,PronounRatio,QuestionRatio,IncorrectRatio,NegativeRatio,PluralRatio,PresentTimeRatio,FutureTimeRatio,PastTimeRatio,NarrTimeRatio,ProgTimeRatio,CondRatio,ImpRatio,NecessRatio,AbilRatio,NegAbilRatio,QuestionPuncRatio,ExclamationRatio,EllipsisRatio,CommaRatio,FullStopRatio,EnglishRatio,SmilingRatio,AffectedRatio,TongueRatio,NeutralRatio,UnwellRatio,NegRatio,RomanticRatio,FingersRatio,ActivityRatio,SportRatio,PlantRatio
0.333,0.889,0.667,0.111,92.574,9.833,1.833,4.222,1.111,0.444,0.333,0.000,0.389,0.222,0.000,0.000,0.222,0.000,0.722,0.111,0.667,0.111,1.611,0.389,0.000,0.222,0.111,0.111,0.000,0.389,0.111,0.000,0.000,0.111,0.111,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000
0.439,0.748,0.561,0.252,88.090,9.052,1.095,3.987,0.666,0.673,0.488,0.000,0.174,0.382,0.160,0.012,0.296,0.077,0.317,0.070,1.356,0.187,0.468,0.170,0.054,0.276,0.063,0.260,0.029,0.124,0.009,0.042,0.050,0.056,0.050,0.022,0.000,0.085,0.061,0.007,0.007,0.002,0.014,0.018,0.007,0.030,0.011,0.001,0.000,0.015
0.524,0.677,0.476,0.323,91.571,11.775,1.392,5.313,1.608,0.856,0.552,0.000,0.167,0.418,0.210,0.004,0.351,0.077,0.389,0.063,1.006,0.244,0.926,0.231,0.083,0.293,0.101,0.288,0.051,0.187,0.014,0.035,0.053,0.035,0.079,0.059,0.000,0.408,0.012,0.058,0.004,0.004,0.007,0.026,0.001,0.008,0.005,0.003,0.001,0.003
0.500,0.667,0.500,0.333,95.068,13.000,1.333,7.833,1.667,0.500,0.667,0.000,0.167,0.167,0.167,0.000,0.333,0.000,0.000,0.000,1.333,0.333,0.333,0.000,0.000,0.167,0.000,0.167,0.000,0.833,0.000,0.000,0.000,0.000,0.167,0.167,0.000,0.333,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.459,0.630,0.541,0.370,88.826,12.024,1.062,6.245,1.177,0.655,0.348,0.000,0.207,0.424,0.136,0.016,0.386,0.196,0.296,0.090,2.579,0.174,0.793,0.158,0.054,0.193,0.071,0.158,0.076,0.231,0.005,0.014,0.030,0.117,0.043,0.008,0.000,0.432,0.207,0.011,0.000,0.000,0.000,0.003,0.000,0.014,0.003,0.000,0.000,0.011
0.000,0.500,1.000,0.500,97.500,3.500,0.000,2.000,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.362,0.904,0.638,0.096,77.315,7.854,0.973,3.076,1.354,0.572,0.324,0.000,0.208,0.273,0.101,0.005,0.237,0.088,0.265,0.052,0.851,0.130,0.486,0.158,0.064,0.267,0.071,0.154,0.028,0.154,0.006,0.015,0.025,0.088,0.035,0.065,0.000,0.509,0.006,0.018,0.001,0.000,0.001,0.000,0.000,0.000,0.005,0.000,0.000,0.000
0.530,0.684,0.470,0.316,87.987,10.581,1.353,4.982,0.935,0.769,0.503,0.000,0.165,0.375,0.206,0.003,0.362,0.057,0.324,0.082,1.184,0.223,0.836,0.204,0.075,0.362,0.095,0.277,0.033,0.176,0.013,0.034,0.060,0.037,0.041,0.022,0.000,0.150,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.001,0.002,0.000,0.001
0.518,0.687,0.482,0.313,86.048,9.489,1.084,4.375,0.992,0.798,0.476,0.000,0.175,0.352,0.139,0.002,0.279,0.061,0.316,0.058,1.126,0.151,0.660,0.173,0.062,0.274,0.079,0.220,0.028,0.134,0.008,0.027,0.033,0.035,0.029,0.051,0.000,0.195,0.053,0.005,0.004,0.003,0.004,0.006,0.001,0.019,0.000,0.000,0.001,0.002
0.605,0.580,0.395,0.420,76.978,10.543,0.963,5.111,1.358,0.630,0.383,0.000,0.111,0.284,0.148,0.000,0.222,0.049,0.284,0.037,1.778,0.123,0.704,0.222,0.012,0.123,0.062,0.136,0.049,0.247,0.000,0.074,0.000,0.025,0.123,0.037,0.000,0.296,0.099,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.682,0.473,0.318,0.527,94.054,11.488,1.124,5.248,1.612,0.922,0.411,0.000,0.147,0.481,0.264,0.000,0.372,0.062,0.271,0.093,1.295,0.194,0.791,0.132,0.070,0.279,0.140,0.248,0.008,0.116,0.008,0.016,0.023,0.078,0.039,0.054,0.000,0.457,0.031,0.116,0.008,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000
0.561,0.689,0.439,0.311,90.967,12.473,1.480,5.892,1.095,0.993,0.608,0.000,0.155,0.574,0.297,0.014,0.432,0.068,0.277,0.068,0.973,0.216,0.926,0.189,0.061,0.493,0.277,0.304,0.074,0.115,0.000,0.027,0.027,0.014,0.027,0.014,0.000,0.324,0.014,0.020,0.027,0.000,0.000,0.020,0.000,0.007,0.000,0.000,0.000,0.000
0.382,0.720,0.618,0.280,96.189,9.530,1.412,4.074,1.078,0.780,0.547,0.000,0.118,0.375,0.128,0.000,0.324,0.084,0.338,0.064,0.655,0.213,0.662,0.304,0.091,0.334,0.095,0.233,0.041,0.189,0.007,0.030,0.074,0.030,0.030,0.074,0.000,0.341,0.017,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000
0.602,0.626,0.398,0.374,95.499,10.581,1.429,3.837,1.585,0.885,0.619,0.000,0.080,0.525,0.165,0.001,0.449,0.111,0.442,0.064,0.903,0.243,0.791,0.246,0.081,0.281,0.084,0.262,0.053,0.183,0.027,0.037,0.061,0.128,0.062,0.269,0.000,0.515,0.049,0.021,0.000,0.000,0.000,0.009,0.000,0.011,0.001,0.001,0.000,0.001
0.605,0.661,0.395,0.339,91.604,9.590,1.320,4.318,0.745,0.775,0.520,0.000,0.125,0.402,0.177,0.004,0.287,0.061,0.470,0.076,1.007,0.231,0.712,0.246,0.073,0.257,0.061,0.254,0.065,0.201,0.013,0.026,0.039,0.035,0.022,0.027,0.000,0.164,0.030,0.039,0.018,0.006,0.009,0.013,0.002,0.020,0.022,0.007,0.000,0.004
0.643,0.857,0.357,0.143,98.049,7.571,1.143,2.857,1.286,0.214,0.286,0.000,0.000,0.429,0.143,0.000,0.429,0.143,0.143,0.143,0.714,0.214,0.714,0.071,0.000,0.286,0.214,0.071,0.071,0.143,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.457,0.636,0.543,0.364,93.010,7.604,1.057,2.896,1.122,0.698,0.438,0.000,0.061,0.303,0.125,0.003,0.229,0.055,0.405,0.044,0.434,0.163,0.532,0.197,0.049,0.210,0.041,0.185,0.051,0.178,0.005,0.028,0.032,0.014,0.015,0.016,0.000,0.579,0.003,0.131,0.101,0.016,0.015,0.066,0.002,0.039,0.021,0.004,0.001,0.011
0.699,0.592,0.301,0.408,93.024,11.033,1.378,4.794,0.868,1.166,0.563,0.000,0.248,0.405,0.221,0.008,0.467,0.071,0.339,0.115,0.915,0.292,1.074,0.192,0.063,0.310,0.179,0.274,0.051,0.207,0.019,0.025,0.034,0.073,0.015,0.015,0.000,0.414,0.002,0.050,0.002,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000
0.458,0.711,0.542,0.289,81.880,9.542,1.205,4.373,1.193,0.675,0.410,0.000,0.120,0.277,0.133,0.000,0.193,0.036,0.313,0.108,1.060,0.205,0.663,0.253,0.084,0.205,0.036,0.157,0.096,0.193,0.012,0.036,0.072,0.060,0.072,0.108,0.000,0.241,0.000,0.048,0.012,0.000,0.000,0.024,0.024,0.036,0.048,0.000,0.000,0.000
0.636,0.560,0.364,0.440,92.061,13.992,1.561,5.794,1.739,1.230,0.721,0.000,0.313,0.567,0.268,0.005,0.588,0.083,0.379,0.074,1.283,0.293,1.033,0.292,0.080,0.347,0.135,0.285,0.054,0.207,0.009,0.040,0.052,0.075,0.099,0.069,0.000,0.545,0.002,0.070,0.011,0.015,0.001,0.009,0.002,0.009,0.044,0.001,0.002,0.000
0.673,0.743,0.327,0.257,94.516,12.427,1.930,5.573,0.649,1.240,0.743,0.000,0.316,0.421,0.263,0.000,0.415,0.082,0.456,0.105,0.596,0.386,0.988,0.526,0.064,0.275,0.058,0.409,0.076,0.345,0.018,0.047,0.012,0.047,0.035,0.234,0.000,0.088,0.000,0.023,0.018,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000
0.403,0.764,0.597,0.236,93.759,13.089,1.806,4.785,1.780,1.079,0.963,0.000,0.073,0.660,0.325,0.005,0.445,0.042,0.754,0.094,0.476,0.466,1.147,0.346,0.105,0.346,0.068,0.461,0.120,0.241,0.010,0.063,0.068,0.058,0.026,0.047,0.000,0.503,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000
0.652,0.622,0.348,0.378,94.324,10.660,1.530,4.305,1.114,0.981,0.564,0.000,0.200,0.385,0.211,0.011,0.454,0.074,0.510,0.106,0.795,0.293,0.767,0.319,0.079,0.288,0.103,0.251,0.053,0.254,0.019,0.030,0.053,0.076,0.017,0.008,0.000,0.511,0.003,0.126,0.005,0.003,0.005,0.004,0.005,0.014,0.005,0.000,0.000,0.001
0.343,0.754,0.657,0.246,89.075,7.919,1.309,3.340,0.754,0.547,0.317,0.000,0.094,0.291,0.147,0.003,0.230,0.016,0.437,0.055,0.725,0.225,0.838,0.277,0.065,0.215,0.071,0.183,0.060,0.215,0.005,0.016,0.052,0.010,0.063,0.042,0.000,0.285,0.003,0.068,0.003,0.008,0.008,0.000,0.003,0.000,0.000,0.000,0.000,0.003
0.551,0.726,0.449,0.274,94.886,9.636,1.318,4.184,0.644,0.898,0.457,0.000,0.129,0.376,0.248,0.004,0.459,0.077,0.434,0.169,0.673,0.273,1.151,0.188,0.067,0.229,0.073,0.251,0.048,0.287,0.010,0.012,0.029,0.226,0.005,0.012,0.000,0.248,0.003,0.006,0.000,0.001,0.000,0.001,0.000,0.000,0.003,0.000,0.000,0.000
0.694,0.578,0.306,0.422,76.105,8.851,1.300,3.215,0.565,0.640,0.494,0.000,0.121,0.308,0.140,0.008,0.337,0.105,0.461,0.103,1.529,0.168,0.525,0.225,0.070,0.302,0.096,0.290,0.050,0.178,0.003,0.031,0.034,0.032,0.030,0.078,0.000,0.076,0.020,0.086,0.022,0.000,0.003,0.095,0.008,0.137,0.007,0.001,0.000,0.001
0.498,0.681,0.502,0.319,89.356,10.010,1.238,4.364,1.282,0.779,0.425,0.000,0.210,0.320,0.152,0.010,0.279,0.084,0.335,0.076,1.043,0.215,0.716,0.243,0.080,0.295,0.080,0.241,0.049,0.162,0.006,0.025,0.038,0.076,0.074,0.064,0.000,0.353,0.003,0.184,0.004,0.001,0.003,0.001,0.000,0.025,0.019,0.002,0.004,0.001
0.551,0.660,0.449,0.340,92.561,12.634,1.610,5.305,1.416,1.139,0.590,0.000,0.217,0.556,0.261,0.009,0.553,0.097,0.416,0.121,1.115,0.282,1.140,0.277,0.091,0.310,0.174,0.255,0.090,0.257,0.020,0.036,0.035,0.095,0.124,0.334,0.000,0.359,0.005,0.071,0.011,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.000
0.731,0.538,0.269,0.462,93.213,13.615,1.385,6.346,1.885,1.154,0.462,0.000,0.269,0.500,0.077,0.000,0.385,0.038,0.385,0.000,2.192,0.115,1.385,0.385,0.000,0.346,0.038,0.308,0.115,0.154,0.000,0.077,0.115,0.115,0.000,0.038,0.000,0.500,0.038,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000
0.435,0.887,0.565,0.113,89.664,6.416,1.079,2.462,0.283,0.651,0.408,0.000,0.070,0.219,0.124,0.002,0.277,0.066,0.368,0.071,0.704,0.167,0.469,0.179,0.063,0.223,0.068,0.275,0.028,0.155,0.003,0.008,0.022,0.015,0.005,0.047,0.000,0.077,0.005,0.002,0.003,0.002,0.000,0.002,0.000,0.014,0.010,0.000,0.000,0.000
0.675,0.583,0.325,0.417,90.679,12.250,0.924,6.293,1.481,0.756,0.307,0.000,0.240,0.322,0.149,0.011,0.350,0.142,0.252,0.066,2.624,0.137,0.708,0.123,0.026,0.176,0.099,0.177,0.068,0.198,0.001,0.039,0.024,0.142,0.044,0.025,0.000,0.480,0.162,0.027,0.001,0.000,0.005,0.009,0.001,0.003,0.020,0.000,0.001,0.000
0.594,0.722,0.406,0.278,94.365,12.888,1.821,4.929,1.539,1.279,0.767,0.000,0.160,0.482,0.240,0.008,0.610,0.100,0.559,0.072,0.705,0.289,1.135,0.317,0.121,0.458,0.130,0.345,0.073,0.244,0.008,0.045,0.057,0.032,0.006,0.020,0.000,0.735,0.000,0.007,0.024,0.000,0.002,0.007,0.000,0.015,0.005,0.000,0.005,0.014
0.757,0.577,0.243,0.423,88.773,13.550,1.402,6.172,1.882,1.083,0.506,0.000,0.369,0.398,0.210,0.011,0.346,0.073,0.335,0.083,1.426,0.183,1.167,0.187,0.103,0.338,0.100,0.247,0.061,0.232,0.015,0.034,0.042,0.068,0.211,0.064,0.000,0.276,0.004,0.028,0.003,0.001,0.008,0.004,0.003,0.036,0.026,0.000,0.003,0.000
0.515,0.808,0.485,0.192,89.045,11.927,1.386,4.962,1.787,0.951,0.605,0.000,0.110,0.418,0.208,0.002,0.394,0.037,0.545,0.108,0.696,0.266,1.001,0.255,0.082,0.229,0.086,0.306,0.060,0.167,0.008,0.058,0.050,0.126,0.063,0.025,0.000,0.390,0.001,0.017,0.005,0.000,0.001,0.002,0.000,0.003,0.013,0.003,0.003,0.001
